Stat,Name
75,Al Ahli
68,Al Ain
71,Al Duhail
74,Al Hilal
73,Al Ittihad
72,Al Nassr
66,Al Rayyan
71,Al Sadd
67,Al Wahda
66,Al Wasl
64,Al Zawra'a
70,Beijing FC
68,Buriram United
69,Daegu
69,Esteghlal
71,Guangzhou Evergrande
69,Gyeongnam
70,Jeonbuk Hyundai Motors
67,Johor Darul Ta'Zim FC
70,Kashima Antlers
70,Kawasaki Frontale
66,Lokomotiv
69,Melbourne Victory
68,Pakhtakor
68,Persepolis
70,Sanfrecce Hiroshima
69,Shandong Luneng
70,Shanghai Sipg
69,Sydney FC
69,Ulsan Hyundai FC
70,Urawa Reds
67,Zob Ahan
