Stat,Name
75,Al Ahli
68,Al Ain
71,Al Duhail
74,Al Hilal
73,Al Ittihad
72,Al Nassr
66,Al Rayyan
71,Al Sadd
67,Al Wahda
66,Al Wasl
64,Al Zawra'a
70,Beijing FC
68,Buriram United
69,Daegu
69,Esteghlal
71,Guangzhou Evergrande
69,Gyeongnam
70,Jeonbuk Hyundai Motors
67,Johor Darul Ta'Zim FC
70,Kashima Antlers
70,Kawasaki Frontale
66,Lokomotiv
69,Melbourne Victory
68,Pakhtakor
68,Persepolis
70,Sanfrecce Hiroshima
69,Shandong Luneng
70,Shanghai Sipg
69,Sydney FC
69,Ulsan Hyundai FC
70,Urawa Reds
67,Zob Ahan
73,Aldosivi
73,Argentinos Juniors
69,Arsenal F.C.
73,C.A. Tucumán
74,Banfield
78,Boca Juniors
69,Central Córdoba Sde
74,C.A. Colón
73,Defensa y Justicia
72,Estudiantes
72,Gimnasia la Plata
71,Godoy Cruz
73,Huracán
77,Independiente
75,Lanús
74,Newell's Old Boys
71,C.A. Patronato
77,Racing Club
79,River Plate
75,Rosario Central
75,San Lorenzo
73,Talleres de Córdoba
74,Unión Santa Fe
75,Vélez Sarsfield
75,Anderlecht
74,Antwerp
70,Cercle Brugge
76,Club Brugge
75,Genk
75,Gent
70,KAS Eupen
70,Kortrijk
71,KV Oostende
69,Mechelen
69,Royal Excel Mouscron
70,Sint-Truiden
70,Sporting Charleroi
74,Standard Liège
67,Waasland-Beveren
70,Zulte-Waregem
71,Athletico Paranaense
76,Atlético Mineiro
68,Avaí
64,Bahia
73,Botafogo
72,Ceará
70,Chapecoense
76,Corinthians
77,Cruzeiro
66,CSA
77,Flamengo
73,Fluminense
72,Fortaleza
72,Goiás
75,Grêmio
76,Internacional
77,Palmeiras
73,Santos
75,São Paulo
73,Vasco da Gama
69,América Mineiro
67,Atlético Go
67,Botafogo Sp
68,Bragantino
66,Brasil de Pelotas
68,Coritiba
69,Crb
67,Criciúma
67,Cuiabá
66,Figueirense
68,Guarani
68,Londrina
66,Oeste
66,Operário Pr
67,Paraná
70,Ponte Preta
68,São Bento
69,Sport Recife
67,Vila Nova
70,Vitória
68,Audax Italiano
67,Cobresal
73,Colo-Colo
70,Coquimbo Unido
67,Curicó Unido
70,Antofagasta
68,Deportes Iquique
69,Everton
69,Huachipato
70,O'Higgins
69,Palestino
70,Unión Española
71,Unión La Calera
74,Universidad Católica
70,Universidad Concepción
72,Universidad de Chile
69,Beijing Guoan
68,Beijing Renhe
67,Chongqing Ddlf
70,Dalian Yifang
71,Guangzhou Evergrande
68,Guangzhou R&F
69,Hebei Cffc
67,Henan Jianye
69,Jiangsu Suning
69,Shandong Luneng
68,Shanghai Shenhua
70,Shanghai Sipg
67,Shenzhen Kaisa
67,Tianjin Teda
68,Tianjin Tianhai
67,Wuhan Zall
68,Alianza Petrolera
71,América de Cali
69,Atlético Bucaramanga
67,Atlético Huila
73,Atlético Nacional
68,Cúcuta Deportivo
72,Deportes Tolima
72,Deportivo Cali
69,Deportivo Pasto
67,Envigado
72,Independiente Medellín
66,Jaguares de Córdoba
73,Junior
70,la Equidad
72,Millonarios
70,Once Caldas
67,Patriotas Boyacá
70,Rionegro
71,Santa Fe
67,Unión Magdalena
68,Aab
68,Agf
71,Brøndby
67,Esbjerg
66,Hobro
66,Horsens
74,København
64,Lyngby
70,Midtjylland
67,Nordsjælland
68,OB
67,Randers
66,Silkeborg
68,Sønderjyske
71,ADO Den Haag
79,Ajax
72,AZ
70,Emmen
76,Feyenoord
68,Fortuna Sittard
71,Groningen
69,Heerenveen
70,Heracles
72,PEC Zwolle
78,PSV
67,RKC Waalwijk
69,Sparta Rotterdam
69,Twente
74,Utrecht
73,Vitesse
68,VVV
68,Willem II
81,Arsenal
76,Aston Villa
77,Bournemouth
76,Brighton & Hove Albion
76,Burnley
82,Chelsea
77,Crystal Palace
80,Everton
78,Leicester City
84,Liverpool
86,Manchester City
81,Manchester United
77,Newcastle United
74,Norwich City
74,Sheffield United
77,Southampton
83,Tottenham Hotspur
77,Watford
79,West Ham United
77,Wolverhampton Wanderers
65,Barnsley FC
71,Birmingham City
70,Blackburn Rovers
70,Brentford
71,Bristol City
73,Cardiff City
68,Charlton Athletic
71,Derby County
74,Fulham
71,Huddersfield Town
70,Hull City
72,Leeds United
67,Luton Town
71,Middlesbrough
69,Millwall
73,Nottingham Forest
70,Preston North End
70,QPR
71,Reading
72,Sheffield Wednesday
73,Stoke City
72,Swansea City
72,West Bromwich Albion
70,Wigan Athletic
74,AEK Athens
80,Bayer Leverkusen
84,Bayern München
74,Dinamo Zagreb
77,Dynamo Kyiv
75,Olympiakos Piraeus
71,Panathinaikos
75,PAOK
78,Schalke 04
77,Shakhtar Donetsk
67,U.S.C. Palermo
72,Slavia Praha
72,Sparta Praha
70,Beerschot
75,Amiens
75,Angers
76,Bordeaux
72,Brest
73,Dijon
77,Lille
72,Metz
80,Monaco
76,Montpellier
75,Nantes
77,Nice
71,Nîmes
80,Olympique Lyonnais
79,Olympique Marseille
85,PSG
76,Rennes
77,Saint-Étienne
74,Stade de Reims
76,Strasbourg
75,Toulouse
67,Ajaccio
71,Auxerre
71,Caen
66,Chambly
67,Châteauroux
68,Clermont
68,Grenoble Foot 38
72,Guingamp
69,Le Havre
67,Le Mans
70,Lorient
69,Nancy
69,Niort
67,Orléans
69,Paris
70,RC Lens
64,Rodez
67,Sochaux
68,Troyes
67,Valenciennes
78,Atalanta
76,Bologna
74,Brescia
77,Cagliari Calcio
78,Fiorentina
76,Genoa
73,Hellas Verona
81,Internazionale
85,Juventus
80,Lazio
72,Lecce
81,Milan
82,Napoli
75,Parma Calcio 1913
80,Roma
76,Sampdoria
76,U.S. Sassuolo
75,SPAL
78,Torino
77,Udinese
70,Ascoli
72,Benevento Calcio
70,Chievo
68,AS Cittadella
67,Cosenza
70,US Cremonese
69,Crotone
71,Empoli FC
71,Frosinone
68,Juve Stabia
68,Livorno
70,Perugia
70,Pescara
66,AC Pisa
68,Pordenone
69,Salernitana
69,Spezia
65,Trapani
68,Venezia FC
67,Virtus Entella
69,Cerezo Osaka
68,Consadole Sapporo
69,FC Tokyo
69,Gamba Osaka
69,Júbilo Iwata
